num_expediente;fecha;hora;localizacion;numero;cod_distrito;distrito;tipo_accidente;estado_meteorológico;tipo_vehiculo;tipo_persona;rango_edad;sexo;cod_lesividad;lesividad;coordenada_x_utm;coordenada_y_utm;positiva_alcohol;positiva_droga
2023S000057;44928;0,326388889;CALL. GOYA / CALL. LOMBIA;86;4;SALAMANCA;Colisión fronto-lateral;Nublado;Bicicleta;Conductor;De 55 a 59 años;Hombre;NULL;NULL;442943.680;4475109.106;N;NULL
2023S000123;44929;0,555555556;AVDA. ENTREVIAS, 100;100;13;PUENTE DE VALLECAS;Colisión fronto-lateral;Despejado;Bicicleta EPAC (pedaleo asistido);Conductor;De 55 a 59 años;Hombre;1;Atención en urgencias sin posterior ingreso;443717.786;4469886.737;N;NULL
2023S000136;44929;0,65625;PASEO. CASTELLANA / MIGUEL AN;51;7;CHAMBERÍ;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;De 45 a 49 años;Hombre;3;Ingreso superior a 24 horas;441406.026;4476550.072;N;NULL
2023S000163;44929;0,934722222;PASEO. SANTA MARIA DE LA CABEZA / PALOS DE LA FRONTERA;39;2;ARGANZUELA;Caída;Despejado;Bicicleta;Conductor;De 21 a 24 años;Mujer;NULL;NULL;440825.321;4472731.828;N;NULL
2023S000181;44930;0,461805556;CALL. IBIZA, 39;39;3;RETIRO;Choque contra obstáculo fijo;Despejado;Bicicleta;Conductor;De 25 a 29 años;Hombre;2;Ingreso inferior o igual a 24 horas;442860.171;4474395.995;N;NULL
2023S000184;44930;0,486111111;CALL. SANTA ENGRACIA / MANUEL CO;27;7;CHAMBERÍ;Colisión fronto-lateral;NULL;Bicicleta;Conductor;De 35 a 39 años;Mujer;NULL;NULL;440878.387;4475815.277;N;NULL
2023S000228;44930;0,854166667;CALL. GENERAL RICARDOS / SAN PATRICI;1;11;CARABANCHEL;Colisión frontal;Despejado;Bicicleta;Conductor;De 30 a 34 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;438402.856;4471546.926;N;NULL
2023S000281;44931;0,722222222;CALL. MAYOR / TRVA. BRINGAS;1;1;CENTRO;Alcance;Despejado;Bicicleta;Conductor;De 55 a 59 años;Mujer;NULL;NULL;439860.883;4474154.133;N;NULL
2023S000332;44932;0,463194444;CALL. OLIVAR / CALL. SAN CARLOS;25;1;CENTRO;Colisión lateral;Despejado;Bicicleta;Conductor;De 21 a 24 años;Hombre;1;Atención en urgencias sin posterior ingreso;440470.211;4473544.699;N;NULL
2023S000401;44932;0,475694444;CALL. FERNANDO PESSOA, 5;5;15;CIUDAD LINEAL;Alcance;Nublado;Bicicleta;Conductor;De 30 a 34 años;Hombre;NULL;NULL;444596.048;4476837.751;N;NULL
2023S000537;44934;0,843055556;AVDA. MANZANARES, 210;210;12;USERA;Atropello a persona;Lluvia débil;Bicicleta;Conductor;De 18 a 20 años;Hombre;NULL;NULL;440542.114;4471411.503;N;NULL
2023S000537;44934;0,843055556;AVDA. MANZANARES, 210;210;12;USERA;Atropello a persona;Lluvia débil;Bicicleta;Peatón;De 25 a 29 años;Mujer;NULL;NULL;440542.114;4471411.503;N;NULL
2023S000557;44934;0,849305556;CALL. ALCALA, 321;321;15;CIUDAD LINEAL;Alcance;Lluvia débil;Bicicleta;Conductor;De 21 a 24 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;444812.993;4475993.670;N;NULL
2023S000570;44935;0,534722222;PASEO. YESERIAS, 33;33;2;ARGANZUELA;Atropello a persona;Despejado;Bicicleta;Conductor;De 65 a 69 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;439913.780;4472188.793;N;NULL
2023S000570;44935;0,534722222;PASEO. YESERIAS, 33;33;2;ARGANZUELA;Atropello a persona;Despejado;Bicicleta;Peatón;De 45 a 49 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;439913.780;4472188.793;N;NULL
2023S000572;44935;0,552083333;CALL. MALMOE / CALLE HERMANOS GARCIA NOBLEJAS;83;15;CIUDAD LINEAL;Colisión frontal;Despejado;Bicicleta;Conductor;De 60 a 64 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;447258.619;4473974.478;N;NULL
2023S000578;44935;0,635416667;AVDA. MENENDEZ PELAYO, 89;89;3;RETIRO;Alcance;Despejado;Bicicleta;Conductor;De 35 a 39 años;Hombre;5;Asistencia sanitaria ambulatoria con posterioridad;442467.304;4473323.459;N;NULL
2023S000650;44936;0,413194444;CALL. O'DONNELL, 44;44;3;RETIRO;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;De 35 a 39 años;Hombre;14;Sin asistencia sanitaria;442870.237;4474739.968;N;NULL
2023S000766;44938;0,295138889;AVDA. HELLIN / CALL. HINOJAL;7;20;SAN BLAS-CANILLEJAS;Colisión fronto-lateral;NULL;Bicicleta;Conductor;De 35 a 39 años;Hombre;NULL;NULL;447754.195;4475843.355;N;NULL
2023S001088;44941;0,430555556;AVDA. MANZANARES, 60;60;11;CARABANCHEL;Atropello a persona;Nublado;Bicicleta;Conductor;De 21 a 24 años;Mujer;14;Sin asistencia sanitaria;438674.336;4472660.565;N;NULL
2023S001088;44941;0,430555556;AVDA. MANZANARES, 60;60;11;CARABANCHEL;Atropello a persona;Nublado;Bicicleta;Peatón;Más de 74 años;Mujer;6;Asistencia sanitaria inmediata en centro de salud o mutua;438674.336;4472660.565;N;NULL
2023S001093;44941;0,552083333;CALL. DOCTOR TOLOSA LATOUR, 18;18;12;USERA;Alcance;NULL;Bicicleta;Conductor;De 45 a 49 años;Hombre;NULL;NULL;440340.163;4469423.625;N;NULL
2023S001199;44942;0,880555556;RONDA. TOLEDO, 3;3;1;CENTRO;Colisión lateral;Lluvia débil;Bicicleta EPAC (pedaleo asistido);Conductor;De 30 a 34 años;Mujer;7;Asistencia sanitaria sólo en el lugar del accidente;439949.682;4473057.440;N;NULL
2023S001427;44945;0,779861111;CALL. GOMEZ DE AVELLANEDA / CALL. RIO ULLA;16;15;CIUDAD LINEAL;Colisión fronto-lateral;Lluvia débil;Bicicleta;Conductor;De 25 a 29 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;445507.345;4476110.305;N;NULL
2023S001541;44946;0,940972222;CALL. PLATANO, 8;8;6;TETUÁN;Caída;Despejado;Bicicleta;Conductor;De 45 a 49 años;Hombre;3;Ingreso superior a 24 horas;440726.580;4479841.629;N;NULL
2023S001649;44946;0,96875;AVDA. CIUDAD DE BARCELONA, 6;6;3;RETIRO;Colisión lateral;Despejado;Bicicleta;Conductor;De 21 a 24 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;441850.676;4472999.897;N;NULL
2023S001725;44947;0,416666667;CALL. FLORENCIA / BRUJAS;2;14;MORATALAZ;Caída;Despejado;Bicicleta;Conductor;De 25 a 29 años;Hombre;1;Atención en urgencias sin posterior ingreso;446812.813;4472550.655;N;NULL
2023S001761;44947;0,423611111;CALL. AREQUIPA / MAR DE CRISTAL;6;16;HORTALEZA;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;De 50 a 54 años;Hombre;1;Atención en urgencias sin posterior ingreso;445904.313;4480005.218;N;NULL
2023S001951;44948;0,829861111;AVDA. MENENDEZ PELAYO / PLAZA. MARIANO DE CAVIA;89;3;RETIRO;Alcance;Despejado;Bicicleta EPAC (pedaleo asistido);Conductor;De 35 a 39 años;Hombre;1;Atención en urgencias sin posterior ingreso;442439.269;4473271.563;N;NULL
2023S002084;44950;0,8125;CALL. JORGE JUAN / CALL. SERRANO;3;4;SALAMANCA;Alcance;Despejado;Bicicleta EPAC (pedaleo asistido);Conductor;De 45 a 49 años;Hombre;2;Ingreso inferior o igual a 24 horas;441668.000;4475038.794;N;NULL
2023S002176;44951;0,909027778;PASEO. GENERAL MARTINEZ CAMPOS, 2;2;7;CHAMBERÍ;Caída;Despejado;Bicicleta;Conductor;De 21 a 24 años;Hombre;14;Sin asistencia sanitaria;440766.023;4476264.369;N;NULL
2023S002182;44952;0,048611111;PASEO. CASTELLANA, 41;41;7;CHAMBERÍ;Choque contra obstáculo fijo;Despejado;Bicicleta;Conductor;De 30 a 34 años;Hombre;6;Asistencia sanitaria inmediata en centro de salud o mutua;441542.171;4476248.141;S;NULL
2023S002256;44952;0,726388889;AVDA. PABLO IGLESIAS / AVDA. DOCTOR FEDERICO RUBIO Y GALI;82;6;TETUÁN;Choque contra obstáculo fijo;Despejado;Bicicleta;Conductor;De 50 a 54 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;439529.419;4478469.287;N;NULL
2023S002329;44953;0,634722222;AVDA. ALBUFERA, 12;12;13;PUENTE DE VALLECAS;Colisión lateral;Despejado;Bicicleta EPAC (pedaleo asistido);Conductor;De 25 a 29 años;Mujer;14;Sin asistencia sanitaria;443299.585;4472122.675;N;NULL
2023S002333;44953;0,774305556;AVDA. NIZA, 10;10;20;SAN BLAS-CANILLEJAS;Alcance;Despejado;Bicicleta;Conductor;De 15 a 17 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;448539.258;4475496.679;N;NULL
2023S002463;44954;0,563194444;CALL. ALCALA / CALL. ALMERIA;206;4;SALAMANCA;Alcance;Despejado;Bicicleta;Conductor;De 21 a 24 años;Hombre;NULL;NULL;443751.338;4475774.494;N;NULL
2023S002492;44954;0,861111111;CALL. JOAQUIN COSTA / CALL. JOAQUIN COSTA;28;5;CHAMARTÍN;Alcance;Despejado;Bicicleta;Conductor;De 45 a 49 años;Hombre;3;Ingreso superior a 24 horas;442064.222;4477125.560;N;NULL
2023S002593;44955;0,527777778;CALL. BRUJAS / CALL. ARROYO FONTARRON;34;14;MORATALAZ;Caída;Despejado;Bicicleta EPAC (pedaleo asistido);Conductor;De 21 a 24 años;Mujer;7;Asistencia sanitaria sólo en el lugar del accidente;446534.063;4471852.537;N;NULL
2023S002718;44956;0,607638889;AVDA. ALBERTO ALCOCER / CALL. PADRE DAMIAN;42;5;CHAMARTÍN;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;De 10 a 14 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;441902.721;4478907.703;N;NULL
2023S002785;44957;0,708333333;CALL. SAGASTA, 28;28;1;CENTRO;Colisión lateral;NULL;Bicicleta EPAC (pedaleo asistido);Conductor;De 25 a 29 años;Mujer;NULL;NULL;440842.033;4475487.862;N;NULL
